No,지역,유형,보증금,면적(m²),면적(평),층,방수,욕실수,향,설명,중개사,출처,등록일,링크
1,홍은동,빌라,1.3억,60,18.1,2층,-,-,-,새담빌 실거래가 18평,,집품,2026-03-21,https://zippoom.com
2,홍은동,빌라,1.45억,59,17.8,2층,3,1,-,홍은동 265-124 18평 전세 2층 (26.06),,아파트미,2026-06-06,https://apt2.me
3,신사동,빌라,1.45억,50,15.1,2층,-,-,-,신사동2-4 15평 2층,,집품,2024-11-26,https://zippoom.com
4,남가좌동,빌라,1.5억,54,16.3,2층,-,-,-,가연빌라 16평 전세,,집품,2026-02-19,https://zippoom.com
5,홍은동,빌라,1.5억,53,16.0,2층,-,-,-,초원빌라 실거래가 16평,,집품,2025-12-03,https://zippoom.com
6,북가좌동,빌라,1.6억,63,19.1,2층,-,-,-,거북골로21길 19평 전세,,집품,2026-04-07,https://zippoom.com
7,신사동,빌라,1.6억,59,17.8,2층,-,-,-,쉐라톤빌라 18평,,집품,2026-04-02,https://zippoom.com
8,신사동,빌라,1.6억,50,15.1,2층,-,-,-,증산로23길 15.3평,,집품,2026-06-01,https://zippoom.com
9,홍제동,빌라,1.7억,50,15.1,2층/4층,3,-,남서향,전세 1.7억 15평,,네이버,2026-06-16,https://new.land.naver.com
10,신사동,빌라,1.9억,65,19.7,2층,-,-,-,증산로23길 19.8평,,집품,2026-06-01,https://zippoom.com
11,홍제동,빌라,1.9억,56,16.9,3층/4층,3,-,동향,전세 1.9억 17평,,네이버,2026-06-16,https://new.land.naver.com
12,홍제동,빌라,1.9억,51,15.4,2층/3층,3,-,동향,전세 1.9억 15평,,네이버,2026-06-16,https://new.land.naver.com
13,홍제동,빌라,2억,55,16.6,3층/4층,3,-,남향,전세 2.0억 방3개 16평 홍제역인근,,네이버,2026-06-16,https://new.land.naver.com
14,홍제동,빌라,2억,55,16.6,3층/4층,3,-,남향,전세 2.0억 17평,,네이버,2026-06-16,https://new.land.naver.com
15,홍제동,연립,2억,54,16.3,3층/4층,3,-,남향,전세 2.0억 16평,,네이버,2026-06-16,https://new.land.naver.com
16,연희동,빌라,2억,53,16.0,2층,-,-,-,위일리치빌 16평 전세 2층,,집품,2024-05-24,https://zippoom.com
17,홍제동,빌라,2억,53,16.0,3층/4층,3,-,남향,전세 2.0억 16평,,네이버,2026-06-16,https://new.land.naver.com
18,북가좌동,빌라,2.1억,85,25.7,2층,-,-,-,에코빌3차 25.7평 전세,,집품,2026-04-10,https://zippoom.com
19,신사동,빌라,2.1억,81,24.5,2층,-,-,-,증산로21가길 24.6평,,집품,2026-06-01,https://zippoom.com
20,신사동,빌라,2.1억,75,22.7,5층,-,-,-,민성빌라 22평 5층,,집품,2024-03-30,https://zippoom.com
